system:index,aspect,datamask,elevation,gain,latitude,longitude,loss,lossyear,slope,treecover2000,.geo
20,25,1,148,0,14.584505488016418,-84.0779879334646,0,0,13,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.07788699999999,14.584370999999967]}"
30,180,1,115,0,14.5443507948157,-84.03783324026388,0,0,2,100,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.03788699999998,14.544370999999968]}"
31,116,1,113,0,14.584505488016418,-84.03783324026388,0,0,2,51,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-84.03788699999998,14.584370999999967]}"
41,0,1,95,0,14.5443507948157,-83.9979480416484,0,0,1,94,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.99788699999998,14.544370999999968]}"
42,244,1,127,0,14.584505488016418,-83.9979480416484,0,0,2,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.99788699999998,14.584370999999967]}"
51,153,1,116,0,14.50446559620022,-83.95779334844768,0,0,2,100,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.95788699999997,14.504370999999969]}"
52,270,1,82,0,14.5443507948157,-83.95779334844768,0,0,1,67,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.95788699999997,14.544370999999968]}"
53,22,1,99,0,14.584505488016418,-83.95779334844768,0,0,5,67,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.95788699999997,14.584370999999967]}"
61,123,1,105,0,14.4643109029995,-83.9179081498322,0,0,3,3,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.91788699999996,14.46437099999997]}"
62,104,1,101,0,14.50446559620022,-83.9179081498322,0,0,4,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.91788699999996,14.504370999999969]}"
63,64,1,78,0,14.5443507948157,-83.9179081498322,0,0,2,97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.91788699999996,14.544370999999968]}"
64,226,1,124,0,14.584505488016418,-83.9179081498322,0,0,3,33,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.91788699999996,14.584370999999967]}"
72,134,1,104,0,14.4643109029995,-83.87775345663148,0,0,1,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.87788699999996,14.46437099999997]}"
73,180,1,82,0,14.50446559620022,-83.87775345663148,0,0,3,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-83.87788699999996,14.504370999999969]}"
